
Unordered Signature Table
---------------------
      Null-s -- 1791
---------------------
aborigine	aborigines
severe	severely
sexual	sexually
sharp	sharply
short	shortly
significant	significantly
silent	silently
similar	similarly
simultaneous	simultaneously
sincere	sincerely
sing	singly
skillful	skillfully
slight	slightly
slow	slowly
smooth	smoothly
social	socially
soft	softly
sole	solely
solemn	solemnly
solid	solidly
special	specially
spiritual	spiritually
spontaneous	spontaneously
square	squarely
stiff	stiffly
strange	strangely
strict	strictly
striking	strikingly
strong	strongly
subsequent	subsequently
substantial	substantially
successful	successfully
sudden	suddenly
sufficient	sufficiently
superb	superbly
supposed	supposedly
sure	surely
surprising	surprisingly
sweet	sweetly
swift	swiftly
technical	technically
tentative	tentatively
theoretical	theoretically
thorough	thoroughly
thoughtful	thoughtfully
tight	tightly
time	timely
total	totally
traditional	traditionally
tremendous	tremendously
triumphant	triumphantly
typical	typically
ultimate	ultimately
unanimous	unanimously
unconscious	unconsciously
unexpected	unexpectedly
unfortunate	unfortunately
uniform	uniformly
unique	uniquely
universal	universally
unlike	unlikely
unusual	unusually
urgent	urgently
usual	usually
utter	utterly
vague	vaguely
various	variously
vast	vastly
verbal	verbally
vigorous	vigorously
violent	violently
virtual	virtually
vital	vitally
vivid	vividly
warm	warmly
week	weekly
wide	widely
wild	wildly
wise	wisely
wonderful	wonderfully
world	worldly
year	yearly



---------------------
      de-s -- 283
---------------------
accepted	accepts
accounted	accounts
affected	affects
afforded	affords
allowed	allows
altered	salter
amounted	amounts
answered	answers
appealed	appeals
appeared	appears
asserted	asserts
attacked	attacks
attempted	attempts
attended	attends
awarded	awards
backed	backs
bates	debate
bathed	baths
bearded	beards
belonged	belongs
blocked	blocks
boarded	boards
booked	books
bounded	bounds
breasted	breasts
burned	burns
called	calls
centered	centers
cents	decent
charted	charts
checked	checks
claimed	claims
clamped	clamps
clouded	clouds
collected	collects
colored	colors
commanded	commands
commented	comments
compounded	compounds
concerned	concerns
conditioned	conditions
confronted	confronts
considered	considers
consisted	consists
contained	contains
contended	contends
contented	contents
contracted	contracts
converted	converts
cooked	cooks
counted	counts
covered	covers
cracked	cracks
credited	credits
crowded	crowds
deadly	sadly
decent	scent
deduct	ducts
deformation	formations
delight	lights
delight	slight
delivered	delivers
demanded	demands
depart	parts
depend	spend
depended	depends
depending	spending
deposited	deposits
deserted	deserts
deserve	serves
design	signs
designed	designs
detail	tails
detailed	details
developed	develops
device	vices
devote	votes
differed	differs
directed	directs
displayed	displays
documented	documents
doubted	doubts
downed	downs
drained	drains
dreamed	dreams
drifted	drifts
effected	effects
elected	select
employed	employs
encountered	encounters
enjoyed	enjoys
entered	enters
exceeded	exceeds
exhibited	exhibits
existed	exists
expected	expects
experimented	experiments
explained	explains
extended	extends
failed	fails
fashioned	fashions
favored	favors
feared	fears
filled	fills
flooded	floods
flowed	flows
followed	follows
formed	forms
gained	gains
gasped	gasps
gifted	gifts
granted	grants
grounded	grounds
grouped	groups
guarded	guards
handed	hands
happened	happens
headed	heads
helped	helps
hinted	hints
honored	honors
hooked	shook
imported	imports
informed	informs
insisted	insists
intended	intends
interested	interests
interviewed	interviews
killed	kills
killed	skill
lacked	lacks
lacked	slack
landed	lands
learned	learns
leveled	levels
licked	slick
lighted	lights
lighted	slight
limited	limits
linked	links
listed	lists
loaded	loads
locked	locks
looked	looks
lowered	slower
mailed	mails
maintained	maintains
marked	marks
mastered	masters
mattered	matters
mentioned	mentions
merited	merits
molded	molds
mounted	mounts
murdered	murders
nailed	nails
needed	needs
numbered	numbers
objected	objects
occasioned	occasions
offered	offers
opened	opens
ordered	orders
painted	paints
paired	pairs
parked	parks
parked	spark
parted	parts
patterned	patterns
peaked	peaks
peaked	speak
peered	peers
persisted	persists
planted	plants
played	plays
pointed	points
portrayed	portrays
posted	posts
powdered	powders
prayed	spray
presented	presents
prevailed	prevails
prevented	prevents
printed	prints
proceeded	proceeds
projected	projects
protested	protests
pulled	pulls
questioned	questions
recalled	recalls
recorded	records
reflected	reflects
regarded	regards
registered	registers
rejected	rejects
remained	remains
remarked	remarks
remembered	remembers
reminded	reminds
repaired	repairs
reported	reports
represented	represents
requested	requests
respected	respects
responded	responds
rested	rests
resulted	results
retained	retains
returned	returns
revealed	reveals
reviewed	reviews
rocked	rocks
rolled	rolls
rooted	roots
rounded	rounds
ruined	ruins
scared	scars
screwed	screws
seasoned	seasons
seated	seats
seemed	seems
selected	selects
shifted	shifts
shocked	shocks
shouted	shouts
showed	shows
sighted	sights
signed	signs
skilled	skills
smelled	smells
soiled	soils
sounded	sounds
spirited	spirits
sponsored	sponsors
stained	stains
stared	stars
started	starts
stationed	stations
stayed	stays
strain	trained
strained	strains
strengthened	strengthens
striped	strips
stuck	tucked
subjected	subjects
succeeded	succeeds
suffered	suffers
suggested	suggests
suited	suits
supplemented	supplements
supported	supports
surveyed	surveys
talented	talents
talked	talks
tended	tends
termed	terms
tested	tests
thanked	thanks
threatened	threatens
totaled	totals
trailed	trails
trained	trains
transported	transports
traveled	travels
treated	treats
trusted	trusts
turned	turns
twisted	twists
uniformed	uniforms
united	units
viewed	views
visited	visits
volunteered	volunteers
walked	walks
wanted	wants
watered	waters
wheeled	wheels
wondered	wonders
wooded	woods
worked	works
wounded	wounds
yanked	yanks
yielded	yields



---------------------
      gin-s -- 262
---------------------
accepting	accepts
accounting	accounts
affecting	affects
agreeing	agrees
allowing	allows
answering	answers
appealing	appeals
appearing	appears
attacking	attacks
attempting	attempts
attending	attends
backing	backs
bathing	baths
beaming	beams
bearing	bears
belonging	belongs
blowing	blows
boarding	boards
boating	boats
bombing	bombs
booking	books
bordering	borders
breaking	breaks
bringing	brings
broadcasting	broadcasts
budgeting	budgets
building	builds
burning	burns
calling	calls
camping	camps
centering	centers
charting	charts
checking	checks
claiming	claims
coating	coats
collecting	collects
coloring	colors
comforting	comforts
commanding	commands
commenting	comments
concerning	concerns
conditioning	conditions
conflicting	conflicts
confronting	confronts
considering	considers
consisting	consists
containing	contains
contrasting	contrasts
cooking	cooks
corresponding	corresponds
costing	costs
counting	counts
covering	covers
cracking	cracks
crowding	crowds
dealing	deals
delivering	delivers
demanding	demands
depending	depends
designing	designs
developing	develops
directing	directs
displaying	displays
drawing	draws
dreaming	dreams
drifting	drifts
drinking	drinks
employing	employs
engineering	engineers
enjoying	enjoys
entering	enters
evening	seven
exceeding	exceeds
exhibiting	exhibits
existing	exists
expecting	expects
experimenting	experiments
explaining	explains
extending	extends
failing	fails
falling	falls
farming	farms
fearing	fears
feeding	feeds
feeling	feels
fighting	fights
filling	fills
finding	finds
flooring	floors
flowering	flowers
flowing	flows
following	follows
forecasting	forecasts
forming	forms
functioning	functions
gaining	gains
gasping	gasps
granting	grants
growing	grows
guarding	guards
handing	hands
happening	happens
heading	heads
hearing	hears
hearing	shear
helping	helps
holding	holds
honoring	honors
implying	simply
insisting	insists
interesting	interests
interviewing	interviews
ironing	irons
keeping	keeps
killing	kills
killing	skill
knowing	knows
lacking	lacks
lacking	slack
landing	lands
leading	leads
learning	learns
leveling	levels
lighting	lights
lighting	slight
limiting	limits
linking	links
listing	lists
loading	loads
locking	locks
looking	looks
lowering	slower
mailing	mails
maintaining	maintains
marketing	markets
marking	marks
meaning	means
meeting	meets
mentioning	mentions
milling	mills
molding	molds
mounting	mounts
needing	needs
neighboring	neighbors
numbering	numbers
offering	offers
opening	opens
ordering	orders
painting	paints
paneling	panels
panting	pants
parking	parks
parking	spark
peering	peers
pending	spend
pertaining	pertains
planking	planks
planting	plants
playing	plays
pointing	points
pounding	pounds
presenting	presents
prevailing	prevails
preventing	prevents
printing	prints
proceeding	proceeds
programing	programs
projecting	projects
protesting	protests
pulling	pulls
pumping	pumps
questioning	questions
raining	rains
ranking	ranks
reading	reads
reasoning	reasons
recalling	recalls
recording	records
reflecting	reflects
regarding	regards
remaining	remains
remembering	remembers
reminding	reminds
reporting	reports
representing	represents
requesting	requests
respecting	respects
responding	responds
resting	rests
resulting	results
retaining	retains
returning	returns
revealing	reveals
reviewing	reviews
ringing	rings
rocking	rocks
rolling	rolls
rounding	rounds
schooling	schools
screening	screens
seating	seats
seeking	seeks
seeming	seems
selecting	selects
selling	sells
shadowing	shadows
shifting	shifts
shouting	shouts
showing	shows
signaling	signals
signing	signs
singing	sings
smelling	smells
speaking	speaks
spending	spends
sporting	sports
spreading	spreads
standing	stands
staring	stars
starting	starts
staying	stays
sticking	sticks
stool	tooling
strain	training
straining	strains
streaming	streams
strengthening	strengthens
succeeding	succeeds
suffering	suffers
suggesting	suggests
supporting	supports
surveying	surveys
swear	wearing
sweep	weeping
talking	talks
tearing	tears
telling	tells
testing	tests
thinking	thinks
threatening	threatens
throwing	throws
thrusting	thrusts
tooling	tools
totaling	totals
touring	tours
towering	towers
trailing	trails
training	trains
traveling	travels
treating	treats
turning	turns
twisting	twists
understanding	understands
viewing	views
visiting	visits
walking	walks
wanting	wants
wearing	wears
winding	winds
wondering	wonders
working	works
yielding	yields



---------------------
      Null-er -- 249
---------------------
aching	reaching
acted	reacted
action	reaction
actions	reactions
activity	reactivity
actor	reactor
actors	reactors
ally	really
assurance	reassurance
assured	reassured
assuring	reassuring
attack	attacker
bank	banker
bark	barker
bomb	bomber
bonn	bonner
both	bother
bright	brighter
broad	broader
buff	buffer
build	builder
build	rebuild
building	rebuilding
butt	butter
call	recall
called	recalled
calling	recalling
calls	recalls
care	career
cart	carter
catch	catcher
cent	center
cent	recent
chart	charter
cheap	cheaper
chest	chester
clean	cleaner
clear	clearer
coil	recoil
cold	colder
collection	recollection
command	commander
commend	recommend
commission	commissioner
condition	conditioner
construct	reconstruct
construction	reconstruction
contain	container
cool	cooler
cord	record
corn	corner
count	counter
course	recourse
cover	recover
covered	recovered
creation	recreation
custom	customer
deal	dealer
deep	deeper
design	designer
develop	developer
development	redevelopment
draw	drawer
east	easter
employ	employer
engine	engineer
england	englander
ernest	nest
farm	farmer
fast	faster
fight	fighter
firm	firmer
fish	fisher
flow	flower
form	former
form	reform
formation	reformation
forms	reforms
found	founder
frankfurt	frankfurter
full	fuller
fund	refund
fuse	refuse
great	greater
hamm	hammer
hard	harder
heat	heater
help	helper
high	higher
hold	holder
hung	hunger
hunt	hunter
interpret	interpreter
kill	killer
labor	laborer
late	relate
lead	leader
lease	release
less	lesser
lest	lester
liable	reliable
lied	relied
light	lighter
listen	listener
lock	locker
long	longer
loud	louder
lying	relying
main	remain
mann	manner
mark	marker
mark	remark
marked	remarked
marks	remarks
mast	master
meek	meeker
member	remember
members	remembers
mill	miller
mind	remind
minds	reminds
mist	mister
move	remove
moved	removed
moves	removes
moving	removing
murder	murderer
narrow	narrower
near	nearer
open	opener
organization	reorganization
paint	painter
pair	repair
paired	repaired
pairs	repairs
palm	palmer
park	parker
perform	performer
petition	petitioner
petition	repetition
photograph	photographer
pitch	pitcher
place	replace
placed	replaced
placement	replacement
places	replaces
placing	replacing
plant	planter
play	player
port	porter
port	report
porter	reporter
pray	prayer
preach	preacher
present	represent
presentation	representation
presentations	representations
presented	represented
presenting	representing
presents	represents
prison	prisoner
produce	reproduce
produced	reproduced
production	reproduction
prop	proper
public	republic
quest	request
quick	quicker
ranch	rancher
read	reader
record	recorder
remind	reminder
report	reporter
research	search
resent	sent
reserve	serve
reserved	served
reserves	serves
residing	siding
resigned	signed
resolution	solution
resolutions	solutions
resolve	solve
resolved	solved
resort	sort
resource	source
resources	sources
resting	sting
restore	store
restored	stored
restrain	strain
restrained	strained
restraining	straining
restrict	strict
retail	tail
retire	tire
retired	tired
retreat	treat
retreated	treated
retreating	treating
return	turn
returned	turned
returning	turning
returns	turns
reunion	union
reverse	verse
review	view
reviewed	viewed
reviewing	viewing
reviews	views
revision	vision
revisions	visions
reward	ward
rich	richer
salt	salter
sell	seller
short	shorter
should	shoulder
show	shower
since	sincere
sing	singer
slow	slower
small	smaller
soft	softer
soon	sooner
sound	sounder
southern	southerner
speak	speaker
strong	stronger
sweat	sweater
tall	taller
teach	teacher
tend	tender
thick	thicker
think	thinker
tough	tougher
trail	trailer
travel	traveler
troop	trooper
turn	turner
wait	waiter
walk	walker
walt	walter
weak	weaker
wheel	wheeler
work	worker
writ	writer
york	yorker
young	younger



---------------------
      d-s -- 237
---------------------
abused	abuses
achieved	achieves
addressed	addresses
advanced	advances
agreed	agrees
allied	allies
applied	applies
approached	approaches
arched	arches
argued	argues
arrived	arrives
associated	associates
assumed	assumes
assured	assures
attributed	attributes
averaged	averages
based	bases
beard	bears
believed	believes
bruised	bruises
brushed	brushes
cared	cares
carried	carries
caused	causes
changed	changes
charged	charges
circled	circles
cited	cites
closed	closes
clothed	clothes
coincided	coincides
combined	combines
compared	compares
completed	completes
concentrated	concentrates
confined	confines
constituted	constitutes
continued	continues
contributed	contributes
coordinated	coordinates
coupled	couples
created	creates
cried	cries
curved	curves
danced	dances
dandy	sandy
dared	dares
dated	dates
david	davis
debated	debates
decided	decides
declared	declares
declined	declines
decreased	decreases
deemed	seemed
defined	defines
demonstrated	demonstrates
denied	denies
derived	derives
described	describes
deserved	deserves
desired	desires
determined	determines
devil	evils
dictated	dictates
dinner	sinner
discharged	discharges
distinguished	distinguishes
divided	divides
dominated	dominates
doubled	doubles
drain	rains
drank	ranks
dread	reads
dressed	dresses
driver	rivers
ducked	sucked
dwell	swell
dwell	wells
dwelling	swelling
echoed	echoes
edged	edges
emerged	emerges
employed	employes
enabled	enables
encouraged	encourages
engaged	engages
estimated	estimates
evidenced	evidences
evoked	evokes
exchanged	exchanges
exercised	exercises
experienced	experiences
expressed	expresses
faced	faces
featured	features
figured	figures
filed	files
financed	finances
fired	fires
flared	flares
flashed	flashes
forced	forces
framed	frames
furnished	furnishes
generated	generates
glanced	glances
graduated	graduates
guaranteed	guarantees
guided	guides
handled	handles
heard	hears
heard	shear
hoped	hopes
housed	houses
identified	identifies
ignored	ignores
illustrated	illustrates
implied	implies
improved	improves
included	includes
increased	increases
indicated	indicates
influenced	influences
invited	invites
involved	involves
issued	issues
judged	judges
licensed	licenses
liked	likes
lined	lines
lived	lives
loved	loves
marched	marches
matched	matches
measured	measures
missed	misses
moved	moves
naked	snake
named	names
noted	notes
noticed	notices
observed	observes
operated	operates
outlined	outlines
paced	paces
paced	space
packaged	packages
participated	participates
passed	passes
patched	patches
phoned	phones
pitched	pitches
placed	places
possessed	possesses
practiced	practices
preserved	preserves
pressed	presses
privileged	privileges
processed	processes
produced	produces
progressed	progresses
promised	promises
proposed	proposes
proved	proves
provided	provides
purchased	purchases
raced	races
raised	raises
ranged	ranges
rated	rates
reached	reaches
received	receives
recognized	recognizes
reduced	reduces
refused	refuses
related	relates
released	releases
removed	removes
replaced	replaces
replied	replies
required	requires
resembled	resembles
reserved	reserves
ruled	rules
sampled	samples
saved	saves
scheduled	schedules
scored	scores
scratched	scratches
sensed	senses
sentenced	sentences
served	serves
shaded	shades
shaped	shapes
shared	shares
smiled	smiles
spaced	spaces
squared	squares
staged	stages
stated	states
stored	stores
stressed	stresses
stretched	stretches
striped	stripes
structured	structures
studied	studies
substituted	substitutes
supplied	supplies
surge	urged
surprised	surprises
switched	switches
tasted	tastes
taxed	taxes
telephoned	telephones
timed	times
tired	tires
titled	titles
touched	touches
traced	traces
traded	trades
tried	tries
troubled	troubles
urged	urges
valued	values
varied	varies
voiced	voices
voted	votes
waged	wages
washed	washes
wasted	wastes
waved	waves
wired	wires
wished	wishes
witnessed	witnesses
worried	worries
wrinkled	wrinkles



---------------------
      e-gin -- 191
---------------------
abide	abiding
accelerate	accelerating
accuse	accusing
achieve	achieving
acquire	acquiring
advocate	advocating
analyze	analyzing
announce	announcing
argue	arguing
arise	arising
arrange	arranging
arrive	arriving
assemble	assembling
assume	assuming
assure	assuring
authorize	authorizing
average	averaging
become	becoming
believe	believing
blaze	blazing
bounce	bouncing
breathe	breathing
cause	causing
challenge	challenging
change	changing
charge	charging
choke	choking
choose	choosing
close	closing
combine	combining
communicate	communicating
commute	commuting
compare	comparing
compete	competing
complete	completing
compute	computing
concentrate	concentrating
conclude	concluding
contemplate	contemplating
continue	continuing
contribute	contributing
cooperate	cooperating
couple	coupling
create	creating
curse	cursing
dance	dancing
decide	deciding
declare	declaring
decline	declining
decrease	decreasing
define	defining
demonstrate	demonstrating
describe	describing
desire	desiring
determine	determining
devote	devoting
discourage	discouraging
divide	dividing
double	doubling
drive	driving
eliminate	eliminating
emerge	emerging
enable	enabling
encourage	encouraging
endure	enduring
enforce	enforcing
engage	engaging
enterprise	enterprising
escape	escaping
evaluate	evaluating
examine	examining
exclude	excluding
exercise	exercising
experience	experiencing
explode	exploding
explore	exploring
figure	figuring
finance	financing
flame	flaming
force	forcing
frame	framing
freeze	freezing
generate	generating
glance	glancing
glare	glaring
graduate	graduating
guide	guiding
handle	handling
house	housing
impose	imposing
improve	improving
include	including
income	incoming
increase	increasing
indicate	indicating
inquire	inquiring
insure	insuring
interfere	interfering
introduce	introducing
investigate	investigating
invite	inviting
involve	involving
isolate	isolating
judge	judging
leave	leaving
license	licensing
locate	locating
lodge	lodging
manage	managing
manufacture	manufacturing
measure	measuring
merchandise	merchandising
merge	merging
negotiate	negotiating
notice	noticing
nurse	nursing
observe	observing
operate	operating
oppose	opposing
organize	organizing
overcome	overcoming
package	packaging
participate	participating
pause	pausing
penetrate	penetrating
persuade	persuading
place	placing
please	pleasing
practice	practicing
prepare	preparing
preserve	preserving
price	pricing
probe	probing
produce	producing
promise	promising
promote	promoting
propose	proposing
prove	proving
provide	providing
purchase	purchasing
pursue	pursuing
puzzle	puzzling
raise	raising
range	ranging
rattle	rattling
realize	realizing
receive	receiving
recognize	recognizing
reduce	reducing
refuse	refusing
relate	relating
remove	removing
replace	replacing
require	requiring
restore	restoring
retire	retiring
reverse	reversing
sample	sampling
score	scoring
secure	securing
sense	sensing
separate	separating
serve	serving
settle	settling
shake	shaking
shape	shaping
share	sharing
shave	shaving
shine	shining
slide	sliding
slope	sloping
smile	smiling
smoke	smoking
solve	solving
space	spacing
sprinkle	sprinkling
stare	staring
state	stating
stimulate	stimulating
strike	striking
struggle	struggling
surprise	surprising
survive	surviving
trace	tracing
trade	trading
tremble	trembling
undertake	undertaking
utilize	utilizing
waste	wasting
welcome	welcoming
write	writing



---------------------
      es-gin -- 136
---------------------
achieves	achieving
addresses	addressing
approaches	approaching
argues	arguing
arises	arising
arrives	arriving
assumes	assuming
assures	assuring
averages	averaging
becomes	becoming
believes	believing
brushes	brushing
causes	causing
changes	changing
charges	charging
chooses	choosing
closes	closing
clothes	clothing
coaches	coaching
combines	combining
compares	comparing
completes	completing
concentrates	concentrating
continues	continuing
contributes	contributing
couples	coupling
creates	creating
dances	dancing
decides	deciding
declares	declaring
declines	declining
decreases	decreasing
defines	defining
demonstrates	demonstrating
describes	describing
desires	desiring
determines	determining
distinguishes	distinguishing
divides	dividing
doubles	doubling
dresses	dressing
drives	driving
emerges	emerging
employes	employing
enables	enabling
encourages	encouraging
engages	engaging
enterprises	enterprising
exercises	exercising
experiences	experiencing
expresses	expressing
figures	figuring
finances	financing
flames	flaming
flashes	flashing
forces	forcing
frames	framing
generates	generating
glances	glancing
graduates	graduating
guides	guiding
handles	handling
houses	housing
improves	improving
includes	including
increases	increasing
indicates	indicating
invites	inviting
involves	involving
judges	judging
leaves	leaving
licenses	licensing
marches	marching
matches	matching
measures	measuring
misses	missing
notices	noticing
nurses	nursing
observes	observing
operates	operating
overcomes	overcoming
packages	packaging
participates	participating
passes	passing
pitches	pitching
places	placing
possesses	possessing
practices	practicing
preserves	preserving
presses	pressing
prices	pricing
processes	processing
produces	producing
promises	promising
proposes	proposing
proves	proving
provides	providing
purchases	purchasing
raises	raising
ranges	ranging
reaches	reaching
receives	receiving
recognizes	recognizing
reduces	reducing
refuses	refusing
relates	relating
removes	removing
replaces	replacing
requires	requiring
samples	sampling
scores	scoring
scratches	scratching
senses	sensing
serves	serving
shakes	shaking
shapes	shaping
shares	sharing
slides	sliding
slopes	sloping
smiles	smiling
spaces	spacing
states	stating
stresses	stressing
stretches	stretching
strikes	striking
surprises	surprising
switches	switching
teaches	teaching
touches	touching
traces	tracing
trades	trading
washes	washing
wastes	wasting
wishes	wishing
witnesses	witnessing
writes	writing



---------------------
      de-ino -- 128
---------------------
accelerated	acceleration
accumulated	accumulation
activated	activation
adopted	adoption
affected	affection
alienated	alienation
allocated	allocation
anticipated	anticipation
appreciated	appreciation
appropriated	appropriation
approximated	approximation
asserted	assertion
associated	association
attracted	attraction
calculated	calculation
celebrated	celebration
collaborated	collaboration
collected	collection
completed	completion
compressed	compression
concentrated	concentration
confessed	confession
confused	confusion
connected	connection
consolidated	consolidation
constituted	constitution
constructed	construction
contemplated	contemplation
contented	contention
contracted	contraction
contributed	contribution
convicted	conviction
coordinated	coordination
corrected	correction
created	creation
decorated	decoration
dedicated	dedication
demonstrated	demonstration
deposit	position
depressed	depression
desegregated	desegregation
detected	detection
devoted	devotion
differentiated	differentiation
diluted	dilution
directed	direction
discussed	discussion
distorted	distortion
distributed	distribution
dominated	domination
edited	edition
educated	education
elected	election
eliminated	elimination
equated	equation
erected	erection
evaluated	evaluation
exaggerated	exaggeration
executed	execution
exhibited	exhibition
expressed	expression
extracted	extraction
fascinated	fascination
formulated	formulation
frustrated	frustration
generated	generation
graduated	graduation
hesitated	hesitation
illuminated	illumination
illustrated	illustration
impressed	impression
indicated	indication
inhibited	inhibition
initiated	initiation
instituted	institution
instructed	instruction
integrated	integration
interrupted	interruption
invented	invention
investigated	investigation
irradiated	irradiation
irritated	irritation
isolated	isolation
liberated	liberation
liquidated	liquidation
located	location
missed	mission
motivated	motivation
negotiated	negotiation
nominated	nomination
objected	objection
obsessed	obsession
operated	operation
oppressed	oppression
participated	participation
passed	passion
penetrated	penetration
perfected	perfection
populated	population
possessed	possession
predicted	prediction
prevented	prevention
processed	procession
professed	profession
prohibited	prohibition
projected	projection
promoted	promotion
prosecuted	prosecution
protected	protection
reacted	reaction
reflected	reflection
refrigerated	refrigeration
regulated	regulation
rejected	rejection
related	relation
restricted	restriction
revised	revision
rotated	rotation
saturated	saturation
segregated	segregation
selected	selection
separated	separation
situated	situation
sophisticated	sophistication
stated	station
stimulated	stimulation
suggested	suggestion
translated	translation



---------------------
      er-s -- 126
---------------------
actions	reaction
actors	reactor
attacker	attacks
banker	banks
bomber	bombs
builder	builds
buildings	rebuilding
builds	rebuild
butter	butts
calls	recall
career	cares
carter	carts
center	cents
center	scent
cents	recent
charter	charts
collections	recollection
commander	commands
commissioner	commissions
conditioner	conditions
container	contains
cooper	scoop
counter	counts
courses	recourse
covers	recover
customer	customs
dealer	deals
designer	designs
developer	develops
developments	redevelopment
drawer	draws
employer	employs
engineer	engines
erection	section
farmer	farms
fighter	fights
firmer	firms
flower	flows
formations	reformation
former	forms
forms	reform
funds	refund
harper	sharp
helper	helps
holder	holds
killer	kills
killer	skill
leader	leads
lighter	lights
lighter	slight
locker	locks
marker	marks
marks	remark
members	remember
miller	mills
minds	remind
moves	remove
murderer	murders
opener	opens
organizations	reorganization
painter	paints
pairs	repair
palmer	palms
parker	parks
parker	spark
petitioner	petitions
petitions	repetition
photographer	photographs
pierre	piers
places	replace
planter	plants
player	plays
porter	sport
prayer	spray
presentations	representation
presents	represent
produces	reproduce
productions	reproduction
proper	props
reader	reads
really	sally
recent	scent
recorder	records
relate	slate
reminder	reminds
repelled	spelled
report	sport
reporter	reports
reporting	sporting
require	squire
reserve	serves
resolution	solutions
resort	sorts
resource	sources
restore	stores
restrain	strains
retail	tails
retain	stain
retained	stained
retire	tires
retreat	treats
return	turns
reunion	unions
reverse	verses
review	views
revision	visions
salter	salts
seller	sells
shorter	shorts
shower	shows
simmer	simms
singer	sings
sounder	sounds
speaker	speaks
stall	taller
stature	status
stuck	tucker
tender	tends
thinker	thinks
trailer	trails
traveler	travels
trooper	troops
turner	turns
walker	walks
wheeler	wheels
worker	works



---------------------
      d-r -- 102
---------------------
advised	adviser
amplified	amplifier
attacked	attacker
baked	baker
barbed	barber
carried	carrier
charted	charter
choreographed	choreographer
cleaned	cleaner
cleared	clearer
closed	closer
commanded	commander
composed	composer
computed	computer
conditioned	conditioner
consumed	consumer
contained	container
controlled	controller
cooled	cooler
counted	counter
danced	dancer
dated	rated
dates	rates
debut	rebut
deceived	received
decent	recent
deduced	reduced
deduction	reduction
defined	refined
dental	rental
designed	designer
designed	resigned
detail	retail
developed	developer
devise	revise
devised	revised
dolls	rolls
donald	ronald
doses	roses
dough	rough
drive	river
dusty	rusty
employed	employer
examined	examiner
flood	floor
flowed	flower
formed	former
founded	founder
freed	freer
handled	handler
heated	heater
helped	helper
hunted	hunter
inquired	inquirer
interpreted	interpreter
killed	killer
labored	laborer
lighted	lighter
listened	listener
lived	liver
locked	locker
longed	longer
loved	lover
managed	manager
manned	manner
manufactured	manufacturer
marked	marker
murdered	murderer
narrowed	narrower
observed	observer
opened	opener
owned	owner
painted	painter
parked	parker
performed	performer
pitched	pitcher
planted	planter
played	player
prayed	prayer
preached	preacher
produced	producer
published	publisher
received	receiver
recorded	recorder
reminded	reminder
reported	reporter
rubbed	rubber
showed	shower
slowed	slower
sounded	sounder
summed	summer
supplied	supplier
tended	tender
traded	trader
trailed	trailer
traveled	traveler
tucked	tucker
turned	turner
waited	waiter
walked	walker
wheeled	wheeler
worked	worker



---------------------
      eis-y -- 102
---------------------
abilities	ability
activities	activity
agencies	agency
ambiguities	ambiguity
antibodies	antibody
applies	apply
arteries	artery
assemblies	assembly
authorities	authority
beauties	beauty
boundaries	boundary
buddies	buddy
capabilities	capability
capacities	capacity
carries	carry
categories	category
centuries	century
ceremonies	ceremony
colonies	colony
commodities	commodity
communities	community
companies	company
contemporaries	contemporary
counties	county
countries	country
deficiencies	deficiency
deputies	deputy
difficulties	difficulty
discoveries	discovery
discrepancies	discrepancy
economies	economy
embassies	embassy
emergencies	emergency
enemies	enemy
energies	energy
entities	entity
entries	entry
facilities	facility
factories	factory
faculties	faculty
families	family
fifties	fifty
forties	forty
frequencies	frequency
harmonies	harmony
histories	history
hostilities	hostility
identifies	identify
identities	identity
implies	imply
industries	industry
injuries	injury
inquiries	inquiry
inventories	inventory
laboratories	laboratory
liberties	liberty
libraries	library
melodies	melody
memories	memory
minorities	minority
missionaries	missionary
monopolies	monopoly
mysteries	mystery
necessities	necessity
novelties	novelty
opportunities	opportunity
parties	party
pennies	penny
personalities	personality
policies	policy
possibilities	possibility
priorities	priority
probabilities	probability
properties	property
qualities	quality
quantities	quantity
realities	reality
remedies	remedy
replies	reply
responsibilities	responsibility
salaries	salary
secretaries	secretary
securities	security
sensibilities	sensibility
sixties	sixty
societies	society
stories	story
studies	study
supplies	supply
sympathies	sympathy
tendencies	tendency
territories	territory
theories	theory
thirties	thirty
tragedies	tragedy
twenties	twenty
uncertainties	uncertainty
universities	university
utilities	utility
varieties	variety
victories	victory
worries	worry



---------------------
      Null-ers -- 100
---------------------
action	reactions
actor	reactors
bank	bankers
bomb	bombers
build	builders
call	recalls
camp	campers
care	careers
cent	centers
clean	cleaners
command	commanders
commission	commissioners
condition	conditioners
cord	records
corn	corners
count	counters
custom	customers
deal	dealers
defend	defenders
design	designers
dive	diverse
draw	drawers
each	reaches
employ	employers
engine	engineers
ever	reverse
farm	farmers
fight	fighters
flow	flowers
follow	followers
foreign	foreigners
form	reforms
found	founders
frankfurt	frankfurters
fuse	refuses
hold	holders
hunt	hunters
island	islanders
labor	laborers
late	relates
lead	leaders
lease	releases
lend	slender
listen	listeners
main	remains
mann	manners
mark	remarks
mast	masters
member	remembers
mind	reminds
move	removes
murder	murderers
northern	northerners
paint	painters
pair	repairs
peak	speaker
perform	performers
photograph	photographers
pitch	pitchers
